idHome,idAway,GD Home,GD Away,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Point Home,Point Away,Outcome
54,75,-7,12,38,93,22,52,62,44,28,47,8,13,0,0,10,20,1
64,62,-5,9,81,71,45,33,66,68,23,25,13,8,2,0,6,26,-1
44,67,-8,-7,71,47,39,22,60,76,39,30,12,13,0,0,10,12,-1
51,79,-5,7,60,69,30,39,67,74,31,23,11,11,1,1,8,13,0
39,38,-6,7,41,47,23,25,60,52,26,25,5,7,1,0,9,20,0
75,70,11,11,88,95,49,60,43,52,37,40,13,7,1,0,20,21,1
35,51,-1,-3,59,70,32,37,63,72,14,33,8,9,0,1,20,11,0
62,44,8,-8,74,72,33,38,61,60,25,33,7,11,0,0,26,11,1
38,72,-7,-6,46,66,19,35,48,54,12,22,7,6,0,1,12,14,1
47,47,-4,-4,51,53,22,28,62,71,21,21,13,10,1,0,13,15,0
39,54,-3,-6,62,40,28,25,62,64,27,26,10,10,1,0,11,13,0
38,85,5,-5,41,34,18,18,65,57,26,17,9,7,0,0,20,14,0
67,87,-7,23,47,106,19,56,75,55,28,27,11,5,1,0,13,26,-1
52,39,-1,-4,58,48,26,28,56,67,27,23,2,9,0,1,11,12,1
79,64,5,-4,69,74,39,41,73,71,21,21,8,11,1,2,13,9,0
75,38,12,4,86,47,49,24,48,65,35,32,11,8,1,0,23,20,0
67,38,-9,-8,49,47,19,20,78,46,30,19,11,6,1,0,13,12,1
51,62,-2,11,68,71,37,36,74,59,33,21,8,8,1,0,14,29,-1
52,64,0,-3,55,61,27,34,56,69,27,14,3,9,0,3,14,12,1
70,54,10,-6,94,34,60,21,51,61,42,24,8,10,0,0,21,14,1
39,39,-5,-3,50,63,26,33,63,62,19,25,8,8,1,1,12,12,-1
44,87,-11,25,63,97,32,54,58,55,32,29,10,6,0,0,11,29,-1
47,72,-6,-5,53,59,30,29,56,57,23,23,10,7,1,1,13,17,0
47,85,-2,-4,52,43,30,24,63,49,22,19,10,9,0,0,18,17,-1
35,79,-2,4,65,71,37,41,63,74,20,24,7,8,0,2,20,13,-1
38,70,6,15,46,97,27,61,69,45,26,30,11,9,0,0,23,24,0
87,39,28,-5,91,61,49,33,56,57,32,18,9,9,0,0,32,13,0
